goalie,period,x,y,shotType,target,goalProb
8471239,1,48.0,-22.0,Snap Shot,0,0.032
8476316,1,86.0,-6.0,Snap Shot,0,0.197
8471239,1,66.0,11.0,Wrist Shot,0,0.088
8471239,1,54.0,4.0,Wrist Shot,0,0.073
8476316,1,52.0,36.0,Snap Shot,0,0.021
8476316,1,63.0,18.0,Wrist Shot,0,0.109
8476316,1,64.0,4.0,Wrist Shot,0,0.135
8476316,1,59.0,25.0,Slap Shot,0,0.089
8476316,1,53.0,-16.0,Snap Shot,0,0.059
8471239,1,78.0,25.0,Snap Shot,0,0.047
8476316,1,78.0,1.0,Snap Shot,1,0.234
8476316,2,87.0,-6.0,Backhand,0,0.144
8476316,2,71.0,-3.0,Snap Shot,1,0.184
8476316,2,53.0,-35.0,Wrist Shot,0,0.02
8476316,2,64.0,36.0,Slap Shot,0,0.042
8476316,2,33.0,-34.0,Slap Shot,0,0.025
8471239,2,49.0,22.0,Slap Shot,0,0.045
8476316,2,81.0,-24.0,Snap Shot,0,0.046
8471239,2,35.0,-37.0,Wrist Shot,0,0.018
8471239,2,55.0,-25.0,Snap Shot,0,0.049
8476316,2,56.0,20.0,Snap Shot,0,0.057
8471239,2,56.0,11.0,Snap Shot,0,0.085
8471239,2,44.0,37.0,Snap Shot,0,0.02
8476316,2,84.0,0.0,Wrist Shot,0,0.308
8471239,2,57.0,5.0,Wrist Shot,0,0.077
8471239,2,42.0,-11.0,Snap Shot,0,0.033
8476316,2,32.0,18.0,Slap Shot,1,0.035
8471239,2,31.0,2.0,Snap Shot,0,0.306
8471239,2,33.0,-35.0,Snap Shot,0,0.021
8471239,2,63.0,20.0,Wrist Shot,0,0.075
8476316,2,74.0,-10.0,Wrist Shot,1,0.112
8476316,2,80.0,1.0,Tip-In,0,0.191
8471239,2,73.0,13.0,Snap Shot,0,0.265
8471239,2,78.0,32.0,Wrist Shot,0,0.028
8476316,2,70.0,-14.0,Wrist Shot,0,0.091
8476316,2,36.0,-17.0,Slap Shot,0,0.032
8476316,2,32.0,-15.0,Slap Shot,0,0.032
8476316,2,54.0,23.0,Slap Shot,0,0.111
8476316,2,61.0,-29.0,Wrist Shot,0,0.053
8476316,2,58.0,-19.0,Wrist Shot,0,0.072
8476316,2,72.0,-17.0,Wrist Shot,0,0.119
8476316,2,52.0,-6.0,Wrist Shot,0,0.067
8471239,2,31.0,7.0,Wrist Shot,0,0.023
8471239,2,34.0,12.0,Slap Shot,1,0.035
8471239,2,38.0,-22.0,Snap Shot,0,0.028
8476316,3,69.0,2.0,Tip-In,0,0.137
8476316,3,82.0,-7.0,Snap Shot,0,0.228
8476316,3,3.0,28.0,Snap Shot,0,0.016
8476316,3,85.0,-15.0,Backhand,0,0.079
8471239,3,37.0,21.0,Snap Shot,0,0.03
8471239,3,71.0,-18.0,Wrist Shot,1,0.078
8476316,3,79.0,15.0,Wrist Shot,0,0.103
8476316,3,32.0,3.0,Slap Shot,0,0.035
8478406,3,29.0,-37.0,Slap Shot,0,0.022
8476316,3,79.0,-2.0,Tip-In,0,0.176
8478406,3,60.0,-2.0,Wrist Shot,1,0.083
8478406,3,57.0,-13.0,Snap Shot,0,0.079
8476316,3,56.0,-11.0,Snap Shot,0,0.081
8478406,3,39.0,-35.0,Wrist Shot,0,0.019
8478406,3,35.0,-31.0,Snap Shot,0,0.024
8478406,3,49.0,5.0,Wrist Shot,1,0.047
8476316,3,44.0,30.0,Wrist Shot,0,0.018
8476316,3,32.0,-35.0,Slap Shot,0,0.025
8476316,3,61.0,25.0,Wrist Shot,0,0.039
8476316,3,66.0,22.0,Snap Shot,0,0.102
8478406,4,76.0,-12.0,Snap Shot,0,0.166
8478406,4,52.0,-9.0,Snap Shot,0,0.061
8478406,4,78.0,-5.0,Backhand,0,0.194
8476316,4,59.0,-28.0,Snap Shot,0,0.034
8478406,1,87.0,-5.0,Wrist Shot,0,0.151
8478406,1,71.0,-18.0,Snap Shot,0,0.118
8478406,1,72.0,13.0,Wrist Shot,0,0.151
8478406,1,67.0,-8.0,Tip-In,0,0.145
8478406,1,66.0,12.0,Wrist Shot,1,0.114
8475622,1,66.0,-26.0,Wrist Shot,0,0.053
8478406,1,40.0,41.0,Snap Shot,0,0.018
8475622,1,60.0,3.0,Wrist Shot,0,0.105
8475622,1,80.0,6.0,Backhand,0,0.159
8478406,1,53.0,-11.0,Wrist Shot,0,0.045
8478406,1,30.0,38.0,Wrist Shot,0,0.014
8475622,1,-49.0,25.0,Wrist Shot,0,0.017
8478406,1,77.0,-31.0,Wrist Shot,0,0.036
8478406,1,88.0,10.0,Wrist Shot,0,0.146
8478406,1,53.0,0.0,Wrist Shot,0,0.057
8478406,1,44.0,32.0,Snap Shot,0,0.02
8478406,1,37.0,34.0,Wrist Shot,0,0.016
8478406,1,55.0,-21.0,Slap Shot,0,0.1
8478406,1,78.0,-1.0,Wrist Shot,1,0.197
8475622,2,66.0,-14.0,Wrist Shot,1,0.087
8478406,2,66.0,-1.0,Wrist Shot,0,0.116
8478406,2,52.0,22.0,Snap Shot,0,0.055
8478406,2,78.0,5.0,Tip-In,1,0.174
8478406,2,38.0,-39.0,Wrist Shot,0,0.027
8475622,2,86.0,-6.0,Tip-In,0,0.185
8475622,2,77.0,17.0,Wrist Shot,0,0.132
8475622,2,74.0,2.0,Backhand,0,0.187
8475622,2,70.0,1.0,Tip-In,0,0.186
8478406,2,72.0,-1.0,Wrist Shot,0,0.147
8478406,2,73.0,-14.0,Snap Shot,1,0.133
8478406,2,63.0,9.0,Deflected,0,0.088
8475622,2,62.0,24.0,Snap Shot,0,0.058
8478406,2,75.0,19.0,Wrist Shot,1,0.112
8478406,2,42.0,-3.0,Slap Shot,0,0.067
8478406,2,81.0,6.0,Wrist Shot,0,0.206
8475622,2,80.0,18.0,Wrist Shot,0,0.082
8478406,2,54.0,31.0,Wrist Shot,0,0.02
8475622,2,64.0,-21.0,Slap Shot,0,0.106
8478406,2,83.0,-2.0,Wrist Shot,0,0.228
8475622,3,69.0,-12.0,Wrist Shot,1,0.096
8478406,3,33.0,23.0,Wrist Shot,0,0.025
8478406,3,61.0,-20.0,Wrist Shot,1,0.066
8475622,3,38.0,37.0,Wrist Shot,0,0.016
8478406,3,64.0,27.0,Slap Shot,0,0.06
8478406,3,60.0,21.0,Wrist Shot,0,0.057
8475622,3,31.0,6.0,Wrist Shot,0,0.023
8475622,3,67.0,0.0,Wrist Shot,0,0.129
8475622,3,77.0,-2.0,Snap Shot,0,0.232
8478406,3,82.0,5.0,Tip-In,0,0.202
8478406,3,62.0,-36.0,Wrist Shot,0,0.075
8475622,3,73.0,21.0,Slap Shot,0,0.137
8478406,3,59.0,1.0,Slap Shot,0,0.136
8478406,3,79.0,3.0,Backhand,1,0.176
8475622,3,82.0,2.0,Wrist Shot,0,0.207
8478406,3,74.0,-11.0,Backhand,0,0.112
8475622,3,5.0,-32.0,Wrist Shot,0,0.018
8479394,1,70.0,17.0,Wrist Shot,0,0.087
8479394,1,83.0,-7.0,Backhand,0,0.178
8471239,1,20.0,-39.0,Wrist Shot,0,0.016
8471239,1,56.0,0.0,Snap Shot,0,0.088
8471239,1,73.0,6.0,Wrist Shot,0,0.14
8471239,1,92.0,10.0,Wrist Shot,0,0.128
8479394,1,33.0,36.0,Wrist Shot,0,0.017
8471239,1,56.0,-35.0,Slap Shot,0,0.05
8479394,1,-73.0,36.0,Wrist Shot,0,0.013
8479394,1,-97.0,-18.0,Backhand,0,0.02
8471239,1,81.0,-2.0,Backhand,0,0.203
8479394,1,59.0,-15.0,Snap Shot,0,0.079
8479394,1,90.0,-24.0,Snap Shot,0,0.041
8479394,1,81.0,5.0,Deflected,0,0.2
8479394,1,50.0,14.0,Snap Shot,0,0.056
8479394,1,1.0,-41.0,Wrist Shot,0,0.016
8471239,2,28.0,10.0,Wrist Shot,0,0.021
8479394,2,60.0,-37.0,Snap Shot,0,0.025
8471239,2,58.0,-28.0,Snap Shot,0,0.045
8471239,2,58.0,-15.0,Snap Shot,0,0.079
8471239,2,75.0,-3.0,Tip-In,0,0.163
8479394,2,85.0,-9.0,Snap Shot,0,0.152
8479394,2,51.0,24.0,Slap Shot,0,0.037
8471239,2,47.0,21.0,Snap Shot,0,0.035
8471239,2,26.0,1.0,Slap Shot,0,0.043
8471239,2,84.0,24.0,Snap Shot,0,0.07
8471239,2,49.0,31.0,Slap Shot,1,0.04
8471239,2,69.0,12.0,Wrist Shot,0,0.102
8471239,2,29.0,-37.0,Wrist Shot,0,0.016
8471239,2,72.0,1.0,Deflected,0,0.148
8471239,2,76.0,-1.0,Wrist Shot,0,0.164
8471239,2,83.0,-3.0,Snap Shot,0,0.268
8471239,2,86.0,-33.0,Snap Shot,0,0.03
8471239,2,77.0,1.0,Tip-In,0,0.175
8479394,2,76.0,27.0,Snap Shot,0,0.07
8479394,2,70.0,-16.0,Slap Shot,0,0.163
8479394,2,86.0,-12.0,Wrist Shot,0,0.101
8479394,2,83.0,1.0,Snap Shot,0,0.27
8479394,3,-56.0,-12.0,Wrist Shot,0,0.019
8479394,3,58.0,16.0,Snap Shot,0,0.085
8471239,3,86.0,8.0,Tip-In,0,0.177
8471239,3,84.0,4.0,Snap Shot,0,0.301
8471239,3,73.0,27.0,Snap Shot,1,0.075
8471239,3,78.0,-21.0,Wrist Shot,0,0.046
8471239,3,77.0,1.0,Backhand,1,0.175
8471239,3,56.0,23.0,Snap Shot,0,0.056
8479394,3,29.0,-38.0,Wrist Shot,0,0.016
8471239,3,53.0,-28.0,Wrist Shot,0,0.025
8471239,3,69.0,24.0,Wrist Shot,0,0.095
8471239,3,69.0,28.0,Snap Shot,0,0.049
8471239,3,41.0,-6.0,Snap Shot,0,0.059
8479394,3,36.0,-35.0,Slap Shot,0,0.026
8471239,3,80.0,2.0,Wrist Shot,1,0.316
8471239,3,70.0,2.0,Wrist Shot,0,0.159
8479394,3,11.0,25.0,Slap Shot,0,0.023
8479394,3,88.0,-10.0,Backhand,0,0.099
8479394,3,55.0,21.0,Snap Shot,0,0.079
8471239,3,35.0,-13.0,Wrist Shot,0,0.049
8479394,3,85.0,25.0,Snap Shot,0,0.064
8475156,1,69.0,-24.0,Slap Shot,0,0.139
8475156,1,73.0,-11.0,Snap Shot,0,0.179
8475156,1,89.0,-2.0,Wrap-around,0,0.107
8478406,1,80.0,-13.0,Snap Shot,0,0.138
8478406,1,35.0,20.0,Snap Shot,0,0.03
8475156,1,69.0,-15.0,Wrist Shot,1,0.1
8478406,1,68.0,24.0,Wrist Shot,0,0.075
8478406,1,79.0,-12.0,Snap Shot,1,0.279
8475156,1,54.0,11.0,Snap Shot,0,0.066
8478406,1,80.0,-22.0,Snap Shot,0,0.049
8475156,1,73.0,20.0,Snap Shot,0,0.098
8475156,1,31.0,36.0,Snap Shot,0,0.016
8478406,2,85.0,-20.0,Wrist Shot,0,0.049
8475156,2,45.0,-38.0,Snap Shot,0,0.023
