play,shooter,goalie,shooterTeamScore,goalieTeamScore,shooterHomeAway,period,time,x,y,shotType,manAdvantageDiff
SHOT,8475268,8471239,0,0,away,1,29,48.0,-22.0,Snap Shot,0
SHOT,8478401,8476316,0,0,home,1,105,86.0,-6.0,Snap Shot,-1
SHOT,8473618,8471239,0,0,away,1,251,66.0,11.0,Wrist Shot,0
SHOT,8478891,8471239,0,0,away,1,254,54.0,4.0,Wrist Shot,0
SHOT,8477425,8476316,0,0,home,1,391,52.0,36.0,Snap Shot,0
SHOT,8475791,8476316,0,0,home,1,491,63.0,18.0,Wrist Shot,1
SHOT,8480002,8476316,0,0,home,1,500,64.0,4.0,Wrist Shot,1
SHOT,8477038,8476316,0,0,home,1,526,59.0,25.0,Slap Shot,1
SHOT,8479407,8476316,0,0,home,1,716,53.0,-16.0,Snap Shot,0
SHOT,8478398,8471239,0,0,away,1,869,78.0,25.0,Snap Shot,0
GOAL,8477038,8476316,0,0,home,1,1080,78.0,1.0,Snap Shot,0
SHOT,8474190,8476316,1,0,home,2,1302,87.0,-6.0,Backhand,0
GOAL,8476399,8476316,1,0,home,2,1302,71.0,-3.0,Snap Shot,0
SHOT,8477425,8476316,2,0,home,2,1404,53.0,-35.0,Wrist Shot,0
SHOT,8476923,8476316,2,0,home,2,1406,64.0,36.0,Slap Shot,0
SHOT,8477355,8476316,2,0,home,2,1500,33.0,-34.0,Slap Shot,0
SHOT,8479339,8471239,0,2,away,2,1536,49.0,22.0,Slap Shot,0
SHOT,8477425,8476316,2,0,home,2,1568,81.0,-24.0,Snap Shot,0
SHOT,8478891,8471239,0,2,away,2,1614,35.0,-37.0,Wrist Shot,0
SHOT,8477940,8471239,0,2,away,2,1678,55.0,-25.0,Snap Shot,0
SHOT,8477038,8476316,2,0,home,2,1712,56.0,20.0,Snap Shot,0
SHOT,8475268,8471239,0,2,away,2,1790,56.0,11.0,Snap Shot,0
SHOT,8471218,8471239,0,2,away,2,1818,44.0,37.0,Snap Shot,0
SHOT,8477425,8476316,2,0,home,2,1851,84.0,0.0,Wrist Shot,0
SHOT,8471218,8471239,0,2,away,2,1854,57.0,5.0,Wrist Shot,0
SHOT,8478398,8471239,0,2,away,2,1869,42.0,-11.0,Snap Shot,0
GOAL,8475222,8476316,2,0,home,2,1954,32.0,18.0,Slap Shot,0
SHOT,8476392,8471239,0,3,away,2,1962,31.0,2.0,Snap Shot,0
SHOT,8477359,8471239,0,3,away,2,1966,33.0,-35.0,Snap Shot,0
SHOT,8471218,8471239,0,3,away,2,2023,63.0,20.0,Wrist Shot,0
GOAL,8476399,8476316,3,0,home,2,2032,74.0,-10.0,Wrist Shot,0
SHOT,8481559,8476316,4,0,home,2,2049,80.0,1.0,Tip-In,0
SHOT,8477504,8471239,0,4,away,2,2117,73.0,13.0,Snap Shot,0
SHOT,8473914,8471239,0,4,away,2,2124,78.0,32.0,Wrist Shot,0
SHOT,8476399,8476316,4,0,home,2,2139,70.0,-14.0,Wrist Shot,0
SHOT,8475222,8476316,4,0,home,2,2151,36.0,-17.0,Slap Shot,0
SHOT,8477509,8476316,4,0,home,2,2219,32.0,-15.0,Slap Shot,0
SHOT,8475151,8476316,4,0,home,2,2227,54.0,23.0,Slap Shot,1
SHOT,8475791,8476316,4,0,home,2,2235,61.0,-29.0,Wrist Shot,1
SHOT,8475791,8476316,4,0,home,2,2269,58.0,-19.0,Wrist Shot,1
SHOT,8475791,8476316,4,0,home,2,2306,72.0,-17.0,Wrist Shot,1
SHOT,8474056,8476316,4,0,home,2,2316,52.0,-6.0,Wrist Shot,1
